timestamp,open,high,low,close,volume
2019-09-10 13:30:00,135.5500,135.5800,135.4151,135.4151,122344
2019-09-10 13:25:00,135.5850,135.6350,135.4700,135.5600,181579
2019-09-10 13:20:00,135.8200,135.8600,135.4698,135.5800,192659
2019-09-10 13:15:00,135.8400,135.9000,135.7300,135.8275,181980
2019-09-10 13:10:00,135.9200,136.0000,135.8000,135.8450,171203
2019-09-10 13:05:00,136.0400,136.0700,135.9050,135.9250,163603
2019-09-10 13:00:00,136.1100,136.2000,136.0100,136.0400,181815
2019-09-10 12:55:00,135.8900,136.1280,135.8865,136.1200,223336
2019-09-10 12:50:00,135.8000,135.9100,135.7949,135.8900,163666
2019-09-10 12:45:00,135.6796,135.8000,135.6600,135.7900,92245
2019-09-10 12:40:00,135.7000,135.8150,135.6800,135.6800,132036
2019-09-10 12:35:00,135.6850,135.7200,135.6700,135.7000,106328
2019-09-10 12:30:00,135.8600,135.8750,135.6800,135.6850,155954
2019-09-10 12:25:00,135.5750,135.8900,135.5650,135.8700,255591
2019-09-10 12:20:00,135.3350,135.5700,135.3200,135.5700,158159
2019-09-10 12:15:00,135.3100,135.3600,135.2350,135.3300,186839
2019-09-10 12:10:00,135.1600,135.3500,135.1400,135.3144,302068
2019-09-10 12:05:00,135.2484,135.3000,135.1000,135.1000,181118
2019-09-10 12:00:00,135.4000,135.4400,135.1900,135.2500,366061
2019-09-10 11:55:00,135.1350,135.4200,135.1200,135.3800,388142
2019-09-10 11:50:00,134.6100,135.2500,134.6048,135.1350,400134
2019-09-10 11:45:00,134.6800,134.6900,134.6100,134.6100,264063
2019-09-10 11:40:00,134.8850,134.9200,134.6250,134.6800,250320
2019-09-10 11:35:00,134.6700,134.8900,134.6402,134.8800,312679
2019-09-10 11:30:00,134.7156,134.8396,134.6394,134.6856,509081
2019-09-10 11:25:00,134.9850,134.9850,134.7100,134.7100,384666
2019-09-10 11:20:00,135.0844,135.0906,134.9300,134.9800,224211
2019-09-10 11:15:00,135.0971,135.1200,135.0310,135.0800,205600
2019-09-10 11:10:00,135.1500,135.1700,135.0250,135.0500,156174
2019-09-10 11:05:00,135.0800,135.2600,135.0250,135.1500,443257
2019-09-10 11:00:00,135.2600,135.2800,135.0500,135.1100,232970
2019-09-10 10:55:00,135.4700,135.5400,135.2250,135.2600,319274
2019-09-10 10:50:00,135.3500,135.4800,135.3470,135.4743,269634
2019-09-10 10:45:00,135.3527,135.4956,135.2864,135.3527,380117
2019-09-10 10:40:00,135.3150,135.4090,135.2050,135.3500,448099
2019-09-10 10:35:00,135.3586,135.4100,135.2200,135.3236,328624
2019-09-10 10:30:00,135.3200,135.5400,135.3000,135.3450,440896
2019-09-10 10:25:00,135.1600,135.3600,135.1300,135.3151,402619
2019-09-10 10:20:00,134.9200,135.1500,134.9090,135.1500,555723
2019-09-10 10:15:00,134.8900,135.1000,134.8650,134.9250,476951
2019-09-10 10:10:00,134.9350,135.0150,134.7900,134.8900,520949
2019-09-10 10:05:00,134.9900,135.0800,134.8400,134.9350,525417
2019-09-10 10:00:00,134.7700,135.0900,134.7600,135.0200,685745
2019-09-10 09:55:00,135.2300,135.2400,134.7100,134.7599,829959
